AÑO,MES,Fecha,Tipo día,GRAN BS.AS.,BUENOS AIRES,CENTRO,LITORAL,CUYO,NOROESTE,NORESTE,COMAHUE,PATAGONICA,DEMANDA TOTAL,TEMPERATURA REFERENCIA MEDIA GBA °C
2018,2018-03-01,2018-03-09,Viernes habiles,6355.082166666667,1914.5987083333332,1521.666625,2160.267375,1121.9884166666668,1468.4460416666668,1253.9841666666666,671.6484583333333,625.8063333333333,17093.48829166667,26.0
2018,2018-03-01,2018-03-10,Sabado o Semilaborable,6105.849333333333,1813.3112916666666,1405.1345416666666,2094.8113333333336,981.06225,1550.6212500000001,1334.959875,566.796375,595.4726666666667,16448.018916666668,28.55
2018,2018-03-01,2018-03-11,Domingo o Feriado,4675.660666666667,1511.078875,1067.7489166666667,1605.578625,820.4831666666668,1316.672875,1419.9214166666668,520.5644583333334,596.2244166666667,13533.933416666667,20.75
2018,2018-03-01,2018-03-12,Lunes habiles,5332.366625,1715.8888749999999,1291.1312916666668,1805.469625,949.9563333333334,1247.8383333333334,1280.352625,560.86525,618.9290416666666,14802.797999999999,19.05
2018,2018-03-01,2018-03-13,Martes Habiles,5642.736083333333,1735.5925833333333,1332.2765833333333,1970.432,943.7544166666667,1329.6891666666668,1296.7935416666667,566.1735,622.598625,15440.046500000002,24.85
2018,2018-03-01,2018-03-14,Miercoles habiles,5834.859416666666,1777.6245,1442.3284583333334,2121.3321666666666,956.2622916666666,1436.9259583333333,1441.6204583333335,571.5845833333334,617.8734583333334,16200.411291666665,24.3
2018,2018-03-01,2018-03-15,Jueves Habiles,5203.26225,1702.769125,1340.6425833333333,1917.5398333333333,930.5501250000001,1380.43825,1280.4084583333333,572.8137083333334,624.7060833333334,14953.130416666663,19.1
2018,2018-03-01,2018-03-16,Viernes habiles,5242.935458333333,1738.17525,1334.5774583333334,1798.0782083333334,959.8172916666667,1304.69125,1175.9945833333334,589.8917083333333,634.951375,14779.112583333332,19.8
2018,2018-03-01,2018-03-17,Sabado o Semilaborable,4992.383791666666,1696.7991249999998,1298.8510833333332,1870.9577499999998,933.6624166666667,1371.098875,1439.5281666666667,569.9946249999999,605.4093750000001,14778.68520833333,23.55
2018,2018-03-01,2018-03-18,Domingo o Feriado,4518.927958333333,1491.154875,1092.4459166666668,1688.8041249999999,798.4367916666666,1328.004375,1475.502625,517.0952083333333,591.8306666666666,13502.20254166667,20.85
2018,2018-03-01,2018-03-19,Lunes habiles,5075.814166666666,1668.7392916666668,1258.0807916666665,1742.5803749999998,887.3515000000001,1242.6780416666668,1061.2815416666667,568.678125,629.9302916666667,14135.134125,19.45
2018,2018-03-01,2018-03-20,Martes Habiles,5205.467083333334,1694.6974583333333,1302.2495000000001,1834.4515000000001,902.5445,1244.2814583333334,959.1396666666666,565.3515833333333,602.9650416666667,14311.147791666664,20.05
2018,2018-03-01,2018-03-21,Miercoles habiles,5098.081708333333,1689.8256666666666,1286.7749166666667,1809.36075,899.998,1245.3612083333335,982.61425,578.029,641.733375,14231.778875,17.0
2018,2018-03-01,2018-03-22,Jueves Habiles,5156.376916666667,1687.0134166666667,1346.0434583333333,1830.24575,927.5910833333334,1292.4858333333334,1085.4714583333332,587.5737083333333,639.845875,14552.647500000003,19.75
2018,2018-03-01,2018-03-23,Viernes habiles,5431.9904166666665,1727.8920416666667,1419.8740833333334,2040.7428333333335,957.9295833333334,1370.8264166666668,1365.8146666666669,580.9629166666667,631.6250416666667,15527.658000000001,24.0
2018,2018-03-01,2018-03-24,Domingo o Feriado,4583.0266249999995,1479.0752916666668,1110.5877083333332,1696.5120416666666,855.1838333333334,1239.4547083333334,1290.7705833333332,541.6650833333333,614.3180416666667,13410.593916666665,21.15
2018,2018-03-01,2018-03-25,Domingo o Feriado,4147.590125,1435.0651666666665,972.5642916666667,1417.0317916666665,760.7417083333333,1037.9215000000002,818.9450416666667,519.08925,607.073125,11716.021999999999,15.95
2018,2018-03-01,2018-03-26,Lunes habiles,5029.882958333334,1701.6738750000002,1207.7600833333333,1749.0397916666668,856.20525,1146.6250416666667,864.211375,572.5962916666666,633.5584166666666,13761.553083333336,14.5
2018,2018-03-01,2018-03-27,Martes Habiles,5188.892541666667,1763.7145,1267.6575,1789.6333750000001,894.7862916666667,1194.434125,927.901625,578.5800833333334,644.5702083333333,14250.170250000001,19.65
2018,2018-03-01,2018-03-28,Miercoles habiles,5336.4275,1743.8508333333332,1297.9519166666666,1859.1197916666667,911.986,1238.4254583333334,1021.0760833333334,593.0185,656.0457083333333,14657.901791666665,22.6
